names,Price,Area,Unit Type
Eden and Serene at Brigade Cornerstone Utopia,52 L -80 L,1097-1240 sq.ft,2 BHK Apartment
Eden and Serene at Brigade Cornerstone Utopia,73.70 L -10.20 Cr,1538-1905 sq.ft,3 BHK Apartment
GK Tropical Springs,44.64 L -74.37 L,1226-1374 sq.ft,2 BHK Apartment
GK Tropical Springs,60.27 L -88.36 L,1502-1650 sq.ft,3 BHK Apartment
M1 Terra Alegria,74.86 L -86.90 L,1826-1975 sq.ft,3 BHK Villa
M1 Terra Alegria,1.10 Cr,2500 sq.ft,4 BHK Villa
Beverly Hills,1.10 Cr -4.86 Cr,,Plot
Trendsquare Ortus,61.57 L -82.70 L,1866-2235 sq.ft,3 BHK Apartment
DSMAX SKYSCAPE,59.68 L -81.68 L,955-1257 sq.ft,2 BHK Apartment
DSMAX SKYSCAPE,66.75 L -81.68 L,1068-1307 sq.ft,2.5 BHK Apartment
DSMAX SKYSCAPE,88.18 L -1.04 Cr,1411-1665 sq.ft,3 BHK Apartment
Vaishnavi North 24,85.80 L -1.25 Cr,1330 sq.ft,2 BHK Apartment
Vaishnavi North 24,1.27 Cr -1.98 Cr,1930-2350 sq.ft,3 BHK Apartment
Vaishnavi North 24,1.60 Cr,2350 sq.ft,4 BHK Apartment
Legacy Cirocco,75.40 L -99.48 L,1219-1230 sq.ft,2 BHK Apartment
Legacy Cirocco,1.10 Cr -1.72 Cr,1682-2018 sq.ft,3 BHK Apartment
Sowparnika Purple Rose,27.86 L -34 L,929-1078 sq.ft,2 BHK Apartment
Sowparnika Purple Rose,33.58 L -47 L,1120-1357 sq.ft,3 BHK Apartment
Brigade Lakefront - Amber Block,3.10 Cr -4.59 Cr,4150-4390 sq.ft,3 BHK Apartment
Brigade Lakefront - Amber Block,4.61 Cr -5.26 Cr,5130-5850 sq.ft,4 BHK Apartment
Brigade Lakefront - Amber Block,4.15 Cr,5230 sq.ft,4+ BHK Apartment
Sri Nandana Royal,1.06 Cr -1.35 Cr,1253-1376 sq.ft,2 BHK Apartment
Sri Nandana Royal,1.37 Cr -1.89 Cr,1615-1776 sq.ft,3 BHK Apartment
Sri Nandana Royal,2.17 Cr -3.20 Cr,2563-3603 sq.ft,4 BHK Apartment
Prestige West Woods,37.99 L,1160 sq.ft,1 BHK Apartment
Prestige West Woods,28 L -45.85 L,1000-1220 sq.ft,2 BHK Apartment
Prestige West Woods,3.94 L -49.70 L,1310-1400 sq.ft,3 BHK Apartment
Gravity Nakshatra,75 L -96 L,1800 sq.ft,3 BHK Villa
Gravity Nakshatra,85 L,1800 sq.ft,3.5 BHK Villa
Gravity Nakshatra,85 L,1800 sq.ft,4 BHK Villa
Vajram Tiara,1 Cr -1.50 Cr,1892 sq.ft,3 BHK Apartment
Vajram Tiara,1.38 Cr -1.45 Cr,2661-2796 sq.ft,3.5 BHK Apartment
Vajram Tiara,1.78 Cr -1.79 Cr,3450-3472 sq.ft,4 BHK Apartment
Hiranandani Queensgate,36.48 L -40 L,697 sq.ft,1 BHK Apartment
Hiranandani Queensgate,63 L -79.19 L,1273-1304 sq.ft,2 BHK Apartment
Hiranandani Queensgate,72.10 L -74.05 L,1362-1401 sq.ft,2.5 BHK Apartment
Hiranandani Queensgate,70.82 L -98 L,1705 sq.ft,3 BHK Apartment
Prestige Royale Gardens,39.25 L -45.50 L,1050-1065 sq.ft,2 BHK Apartment
Prestige Royale Gardens,52.90 L,1050 sq.ft,2 BHK PentHouse
Prestige Royale Gardens,,1200 sq.ft,2 BHK Villa
Prestige Royale Gardens,48.76 L -70 L,1285-1300 sq.ft,3 BHK Apartment
Prestige Royale Gardens,68.50 L,1285 sq.ft,3 BHK PentHouse
JR Nexus,50.15 L -52.15 L,595 sq.ft,1 BHK Apartment
JR Nexus,55.48 L -93 L,982-1210 sq.ft,2 BHK Apartment
JR Nexus,83.21 L -1.26 Cr,1486-1693 sq.ft,3 BHK Apartment
SOBHA Arena - The Park,74 L -1.02 Cr,1296-1306 sq.ft,2 BHK Apartment
